Row ID,Order Date,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,year,month,quarter,day_of_week,delivery_days
1,2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2017,11,4,2,3
2,2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,2017,11,4,2,3
3,2017-06-12,2017-06-16,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2017,6,2,0,4
4,2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,2016,10,4,1,7
5,2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2016,10,4,1,7
6,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,2015,6,2,1,5
7,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,2015,6,2,1,5
8,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.152,2015,6,2,1,5
9,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,2015,6,2,1,5
10,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,2015,6,2,1,5
11,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,2015,6,2,1,5
12,2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,2015,6,2,1,5
13,2018-04-15,2018-04-20,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,2018,4,2,6,5
14,2017-12-05,2017-12-10,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,2017,12,4,1,5
15,2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,2016,11,4,1,4
16,2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,2016,11,4,1,4
17,2015-11-11,2015-11-18,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,2015,11,4,2,7
18,2015-05-13,2015-05-15,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2015,5,2,2,2
19,2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2015,8,3,3,5
20,2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,2015,8,3,3,5
21,2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,2015,8,3,3,5
22,2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,2017,12,4,5,4
23,2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,2017,12,4,5,4
